generation, Top Error, Gen Error, Dropped %
1, -0.403317855671048, -0.403317855671048, 0
2, -0.403317855671048, 6.05686168521643, 0
3, -0.403317855671048, 6.03686607688665, 0
4, -0.403317855671048, 6.0719714435935, 0
5, 6.06736501783133, 6.06736501783133, 0
6, 6.0201999220252, 6.0201999220252, 0
7, 6.0201999220252, 6.03920589536428, 0
8, 6.0201999220252, 6.05146829932928, 0
9, 6.01607699006796, 6.01607699006796, 0
10, 5.95752538055181, 5.95752538055181, 0
11, 5.93083263248205, 5.93083263248205, 0
12, 5.93083263248205, 5.98743501037359, 0
13, 5.93083263248205, 5.98743501037359, 0
14, 5.93083263248205, 5.98743501037359, 0
15, 5.93083263248205, 5.98743501037359, 0
16, 5.93083263248205, 5.94957638591528, 0
17, 5.93083263248205, 5.95326287358999, 0
18, 5.93083263248205, 5.98031545490026, 0
19, 5.93083263248205, 5.98743501037359, 0
20, 5.93083263248205, 5.98743501037359, 0
21, 5.93083263248205, 5.98743501037359, 0
22, 5.93083263248205, 5.98743501037359, 0
23, 5.93083263248205, 5.98743501037359, 0
24, 5.93083263248205, 5.93272031158209, 0
25, 5.93083263248205, 5.98743501037359, 0
26, 5.93083263248205, 5.98743501037359, 0
27, 5.93083263248205, 5.97314034789801, 0
28, 5.93083263248205, 5.98559602826834, 0
29, 5.93083263248205, 5.98743501037359, 0
30, 5.93083263248205, 5.94749028295278, 0
31, 5.92968428939581, 5.92968428939581, 0
32, 5.92968428939581, 5.92994464248419, 0
33, 5.87998221129179, 5.87998221129179, 0
34, 5.87998221129179, 5.90252495616674, 0
35, 5.87998221129179, 5.90226460307836, 0
36, 5.87998221129179, 5.9135631403327, 0
37, 5.87998221129179, 5.9135631403327, 0
38, 5.87998221129179, 5.9135631403327, 0
39, 5.87998221129179, 5.9135631403327, 0
40, 5.87998221129179, 5.9135631403327, 0
41, 5.87998221129179, 5.9135631403327, 0
42, 5.87998221129179, 5.9135631403327, 0
43, 5.87998221129179, 5.88598425239325, 0
44, 5.87998221129179, 5.9135631403327, 0
45, 5.87998221129179, 5.9135631403327, 0
46, 5.87998221129179, 5.9135631403327, 0
47, 5.87998221129179, 5.9135631403327, 0
48, 5.87998221129179, 5.9135631403327, 0
49, 5.87998221129179, 5.87999669522047, 0
50, 5.87998221129179, 5.9045401892066, 0
51, 5.84308112710714, 5.84308112710714, 0
52, 5.84308112710714, 5.87503205865622, 0
53, 5.84308112710714, 5.89766817182302, 0
54, 5.84308112710714, 5.91389666885138, 0
55, 5.84308112710714, 5.94541840642691, 0
56, 5.83891784280538, 5.83891784280538, 0
57, 5.83855342000723, 5.83855342000723, 0
58, 5.83855342000723, 5.83886956304312, 0
59, 5.83855342000723, 5.83886294692755, 0
60, 5.83855342000723, 5.83886956304312, 0
61, 5.66682517141104, 5.66682517141104, 0
62, 5.66682517141104, 5.89514845699072, 0
63, 5.66682517141104, 5.85337436169386, 0
64, 5.66461389869452, 5.66461389869452, 0
65, 5.66461389869452, 5.69388919681311, 0
66, 5.66461389869452, 5.69388919681311, 0
67, 5.47527529090643, 5.47527529090643, 0
68, 5.46993054240942, 5.46993054240942, 0
69, 5.46993054240942, 5.46993054240942, 0
70, 5.46993054240942, 5.46993054240942, 0
71, 5.46476991266012, 5.46476991266012, 0
72, 5.46476991266012, 5.73597231954336, 0
73, 5.46476991266012, 5.9258859834075, 0
74, 5.46476991266012, 5.92603487581015, 0
75, 5.46476991266012, 5.89171249479055, 0
76, 5.09005007117987, 5.09005007117987, 0
77, 5.09005007117987, 5.45759577840567, 0
78, 5.09005007117987, 5.39590752214193, 0
79, 5.09005007117987, 5.64406313031912, 0
80, 5.09005007117987, 5.56750972360373, 0
81, 5.09005007117987, 5.53680462926626, 0
82, 5.09005007117987, 5.81504514068365, 0
